"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"502-1-36519","Keyboard Percussion Solo","Nice to Know You","Carr","","C. Alan Publications","1","(vibraphone) (4-mallets)"
"502-1-36520","Keyboard Percussion Solo","Restless Little Star","Raymond-Kolker","","C. Alan Publications","1","(vibraphone) (4-mallets)"
"502-1-36521","Keyboard Percussion Solo","long way home...","Floyd","","Chad Floyd Publications","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36522","Keyboard Percussion Solo","unBENt","Floyd","","Chad Floyd Publications","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36523","Keyboard Percussion Solo","Lotus","Tan","","Editions Svitzer","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36524","Keyboard Percussion Solo","Skyward","Tan","","Editions Svitzer","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36525","Keyboard Percussion Solo","Asturias","Albeniz","Ferrière","Editions Svitzer","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36526","Keyboard Percussion Solo","Dragonfly","Yamada","Nunoya","Editions Svitzer","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36527","Keyboard Percussion Solo","The Warning Lights Are Blinking Red (marimba solo + audio track)","Trevino","","Ivan Trevino","1","(marimba) (5.0 marimba) (4-mallets) (audio track REQUIRED)"
"502-1-36528","Keyboard Percussion Solo","Forgiveness (advanced version)","Trevino","","Ivan Trevino","1","(vibraphone) (4-mallets)"
"502-1-36529","Keyboard Percussion Solo","Hurricane's Eye","Kaiser","","Keyboard Percussion Publications","1","(marimba) (4.5 octave) (4-mallets)"
"502-1-36530","Keyboard Percussion Solo","A Fresh Approach to Technique and Musicianship with Four Mallets","Skidmore","","Mark Wessells Publications","1","(marimba) (4-mallets) (play two from Etudes 11 through 24)"
"502-1-36531","Keyboard Percussion Solo","Memories","Takada","","Musicon Publications","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36532","Keyboard Percussion Solo","Prelude No. 1 ""Rivage""","Garner","","Permus Publications, Inc.","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36533","Keyboard Percussion Solo","Rosa Xanthina","Koors","","Permus Publications, Inc.","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36534","Keyboard Percussion Solo","What the Stars have always known","Shelton","","Permus Publications, Inc.","1","(bells) (4-mallets)"
"502-1-36535","Keyboard Percussion Solo","Nancy","Sejourne","","PM Europe Publications","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36536","Keyboard Percussion Solo","Etudes X Y Z","Lorick","","PM Europe Publications","1","(marimba) 4-mallets)"
"502-1-36537","Keyboard Percussion Solo","Three Moods (marimba solo)","Rosauro","","Pro Percussao Brasil","1","(marimba) (4.0-octave) (2-mallets) (play two)"
"502-1-36538","Keyboard Percussion Solo","Marimba Concerto Suite No. 1","Rosauro","","Pro Percussao Brasil","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36539","Keyboard Percussion Solo","Caoriccio Claunesco","Wiener","","RAWI Percussion Publications","1","(marimba) (4.5 octave) (4-mallets)"
"502-1-36540","Keyboard Percussion Solo","Raindrops","Casteel","","Row-Loff Publications","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36541","Keyboard Percussion Solo","De Novo","Davila","","Row-Loff Publications [Inspirations 4 Mallets]","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36542","Keyboard Percussion Solo","Passages","Davila","","Row-Loff Publications [Inspirations 4 Mallets]","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36543","Keyboard Percussion Solo","Drive","Davila","","Row-Loff Publications [Inspirations 4 Mallets]","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36544","Keyboard Percussion Solo","Capricious","Davila","","Row-Loff Publications [Inspirations 4 Mallets]","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36545","Keyboard Percussion Solo","Zenith","Locke","","www.mileslocke.com","1","(bells) (4-mallets)"
"502-1-36546","Keyboard Percussion Solo","Leap","Skidmore","","Skidmore Percussion Publications [Leap / A Running Knot]","1","(vibraphone) (4-mallets)"
"502-1-36547","Keyboard Percussion Solo","Veranda","Monkman","","Tapspace Publications, LLC","1","(marimba) (4.0-octave) (4-mallets)"
"502-1-36548","Keyboard Percussion Solo","Hummingbird","Smith","","Tapspace Publications, LLC","1","(marimba) (4.3 octave) (4-mallets)"
"502-1-36549","Keyboard Percussion Solo","What a Wonderful World","Weiss & Thiele","Stopa","Tapspace Publications, LLC","1","(marimba) (4.5 octave) (4-mallets)"
"502-1-36550","Keyboard Percussion Solo","Midnight Moon","Douté","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36551","Keyboard Percussion Solo","The Fairview Hymns","Holst/Vaughan Williams","Mueller","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36552","Keyboard Percussion Solo","My Beautiful Chaos","Marceau","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36553","Keyboard Percussion Solo","Two Rivers","Naughton","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36554","Keyboard Percussion Solo","First Impressions","Patzig","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36555","Keyboard Percussion Solo","Waterfall","Schulze","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36556","Keyboard Percussion Solo","Danny Boy","Traditional","Mueller","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36557","Keyboard Percussion Solo","Blue Identity (solo version)","Wu","","Tapspace Publications, LLC","1","(marimba) (5.0 marimba) (4-mallets)"
"502-1-36558","Keyboard Percussion Solo","Impromptu No. 3","Schubert","Pappas","Tapspace Publications, LLC","1","(vibraphone) (4-mallets)"
"502-1-38825","Keyboard Percussion Solo","Until Dawn","Chu","","Arnor Chu Music","1","(5.0 marimba) (4-mallets)"
"502-1-38826","Keyboard Percussion Solo","Drift Away","Chu","","Arnor Chu Music","1","(5.0 marimba) (4-mallets)"
"502-1-38827","Keyboard Percussion Solo","Simple Song","Chu","","Arnor Chu Music","1","(4.3 marimba) (4-mallets)"
"502-1-38828","Keyboard Percussion Solo","Burned","Daughtrey","","C. Alan Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38829","Keyboard Percussion Solo","Zodiacal Cloud","DeCristofaro","","C. Alan Publications","1","(bells) (2-mallets)"
"502-1-38830","Keyboard Percussion Solo","Home Is","Eisenhardt","","C. Alan Publications","1","(4.3 marimba) (4-mallets)"
"502-1-38831","Keyboard Percussion Solo","Cerulean Blue","Flannigan","","C. Alan Publications","1","(vibraphone) (4-mallets)"
"502-1-38832","Keyboard Percussion Solo","Pass It On","Gist","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.3 marimba) (2-mallets)"
"502-1-38833","Keyboard Percussion Solo","Glimpse","Howley","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.5 marimba) (4-mallets)"
"502-1-38834","Keyboard Percussion Solo","Bon Voyage","Kepley","","C. Alan Publications","1","(4.5 marimba) (4-mallets)"
"502-1-38835","Keyboard Percussion Solo","Stardust","Kozhevnikova","","C. Alan Publications","1","(4.3 marimba) (4-mallets)"
"502-1-38836","Keyboard Percussion Solo","The Path Before Me","Mertens","","C. Alan Publications","1","(vibraphone) (4-mallets)"
"502-1-38837","Keyboard Percussion Solo","East Texas Highways","Moore","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.0 marimba) (4-mallets)"
"502-1-38838","Keyboard Percussion Solo","Castle in the Air","Patzig","","C. Alan Publications","1","(vibraphone) (4-mallets)"
"502-1-38839","Keyboard Percussion Solo","Memo","Peruzzolo-Vieira","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38840","Keyboard Percussion Solo","Linnearis","Peruzzolo-Vieira","","C. Alan Publications","1","(4.5 marimba) (2-mallets) (play one)"
"502-1-38841","Keyboard Percussion Solo","Snap","Pickering","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38842","Keyboard Percussion Solo","Scarabs","Poulan","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.3 marimba) (2-mallets)"
"502-1-38843","Keyboard Percussion Solo","Still Life Triptych","Raymond-Kolker","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38844","Keyboard Percussion Solo","Etude in D-flat Major","Schneider","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38845","Keyboard Percussion Solo","Rills","Shawver","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38846","Keyboard Percussion Solo","Summer Moon","Veit","","C. Alan Publications [The Lion's Roar, Volume 1: 11 Sequential Solos for marimba]","1","(4.6 marimba) (4-mallets)"
"502-1-38847","Keyboard Percussion Solo","Between Zero and One","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38848","Keyboard Percussion Solo","Dolphin Watch","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38849","Keyboard Percussion Solo","Electric Cars & Tiki Bars","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38850","Keyboard Percussion Solo","Ghost Stories","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38851","Keyboard Percussion Solo","Service Industry","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38852","Keyboard Percussion Solo","Skipper Kripitz","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38853","Keyboard Percussion Solo","Thirsty Mermaid","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (4-mallets)"
"502-1-38854","Keyboard Percussion Solo","two thiry-eight pm","Wahlund","","C. Alan Publications [Mile Marker Zero: 12 Intermediate to Advanced Solos for Low A marimba]","1","(4.3 marimba) (2-mallets)"
"502-1-38855","Keyboard Percussion Solo","A Pleasing Trip","Wilmaers","","C. Alan Publications","1","(4.3 marimba) (4-mallets)"
"502-1-38856","Keyboard Percussion Solo","Waltz for Sanne","Wilmaers","","C. Alan Publications","1","(4.3 marimba) (4-mallets)"
"502-1-38857","Keyboard Percussion Solo","Four Fantasies for Solo marimba, Vol. 2","Oetomo","","Editions Svitzer [Four Fantasies for Solo marimba, Vol. 2]","1","(5.0 marimba) (4-mallets) (play No. 6 OR No. 8)"
"502-1-38858","Keyboard Percussion Solo","Four Fantasies for Solo marimba, Vol. 3","Oetomo","","Editions Svitzer [Four Fantasies for Solo marimba, Vol. 3]","1","(5.0 marimba) (4-mallets) (play No. 9 OR No. 10 OR No. 11)"
"502-1-38859","Keyboard Percussion Solo","Revelation Song","Riddle","Venet","Keyboard Percussion Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38860","Keyboard Percussion Solo","Bae NoRae (Sea Shanty)","Traditional Korean Folk Song","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38861","Keyboard Percussion Solo","JaJang-Ga (Lullaby)","Traditional Korean Folk Song","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38862","Keyboard Percussion Solo","QaeJiNa ChingChing NaNe (Little Gongs)","Traditional Korean Folk Song","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(5.0 marimba) (4-mallets)"
"502-1-38863","Keyboard Percussion Solo","Umma EunHye (Mother's Love)","Park","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(4.6 marimba) (4-mallets)"
"502-1-38864","Keyboard Percussion Solo","SeomJip Aki (Island Baby)","Lee","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(4.6 marimba) (4-mallets)"
"502-1-38865","Keyboard Percussion Solo","GeGuRi (Frogs)","Hong","Jung","Liquidrum Publishing [Korean Songs for Marimba]","1","(4.6 marimba) (4-mallets)"
"502-1-38866","Keyboard Percussion Solo","Ensoñación","Alamo","","MalletWorks Music","1","(marimba) (4-mallets)"
"502-1-38867","Keyboard Percussion Solo","Just the 4 Of Us","Goodenberger","","MalletWorks Music [Just The 4 Of Us]","1","(marimba) (4-mallets) (play two)"
"502-1-38868","Keyboard Percussion Solo","Kaleidoscope","Lipner","","MalletWorks Music","1","(vibraphone) (4-mallets)"
"502-1-38869","Keyboard Percussion Solo","The Vibes Real Book","Lipner","","MalletWorks Music [The Vibes Real Book]","1","(vibraphone) (4-mallets) (play Bags Groove OR Don’t Get Around Much Anymore OR My Little Suede Shoes)"
"502-1-38870","Keyboard Percussion Solo","Nostalgia","Alamo","","Musicon Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38871","Keyboard Percussion Solo","Kiwi Fruit","Lorick","","Musicon Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38872","Keyboard Percussion Solo","The Reason","Takada","","Musicon Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38873","Keyboard Percussion Solo","i view our love as lavender","Skinner","","Permus Publications, Inc.","1","(4.5 marimba) (4-mallets)"
"502-1-38874","Keyboard Percussion Solo","My Dear Friend","Rosauro","","Pro Percussao Brasil [Vibes, Etudes and Songs]","1","(vibraphone) (4-mallets)"
"502-1-38875","Keyboard Percussion Solo","Two Reflections","Rosauro","","Pro Percussao Brasil","1","(vibraphone) (4-mallets) (play one)"
"502-1-38876","Keyboard Percussion Solo","Projection","Gardner","","Row-Loff Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38877","Keyboard Percussion Solo","Enigmatic Journey","Moore","","Row-Loff Publications","1","(4.5 marimba) (4-mallets)"
"502-1-38878","Keyboard Percussion Solo","Doodle","Myers","","Row-Loff Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38879","Keyboard Percussion Solo","Dream Again","Ng","","Row-Loff Publications","1","(5.0 marimba) (4-mallets)"
"502-1-38880","Keyboard Percussion Solo","tadpoles","Zhang","","sebastianzhang.com","1","(5.0 marimba) (2-mallets)"
"502-1-38881","Keyboard Percussion Solo","Zephyr (I. Forests)","Zhang","","sebastianzhang.com [Zephyr]","1","(4.5 marimba) (4-mallets)"
"502-1-38882","Keyboard Percussion Solo","Zephyr (II. Oceans)","Zhang","","sebastianzhang.com [Zephyr]","1","(5.0 marimba; 4.5 version available) (4-mallets)"
"502-1-38883","Keyboard Percussion Solo","Zephyr (III. Embers)","Zhang","","sebastianzhang.com [Zephyr]","1","(5.0 marimba; 4.5 version available) (4-mallets)"
"502-1-38884","Keyboard Percussion Solo","Momentum","Islas","","teamislas.com [Momentum]","1","(4.3 marimba) (2-mallets) (play Point of Reference OR Source of Light OR The World As I See It OR Event Horizon OR Kinetic Energy OR For All Observers OR What If OR Entanglement)"
"502-1-38885","Keyboard Percussion Solo","Arrival from Momentum","Islas","","teamislas.com [Momentum]","1","(5.0 marimba) (2-mallets)"
"502-1-38886","Keyboard Percussion Solo","in Blue","LaBozzetta","","victorlabozzetta.com","1","(5.0 marimba) (4-mallets)"
"502-1-38887","Keyboard Percussion Solo","Seeking Paradise","Locke","","www.mileslocke.com","1","(5.0 marimba) (4-mallets)"
"502-1-38888","Keyboard Percussion Solo","Simple Truth","Rennick","","Self-Published Music","1","(5.0 marimba) (4-mallets)"
"502-1-38889","Keyboard Percussion Solo","…Just the Light We See","Teel","","Self-Published Music","1","(5.0 marimba) (4-mallets)"
"502-1-38890","Keyboard Percussion Solo","Snowfall","Tyson","","Self-Published Music","1","(4.3 marimba) (4-mallets)"
"502-1-38891","Keyboard Percussion Solo","I Leave You the Real World","Skidmore","","Skidmore Percussion Publications","1","(vibraphone) (4-mallets) (play one mvt)"
"502-1-38892","Keyboard Percussion Solo","Sevilla (solo version)","Albeniz","Tolles","Tapspace Publications, LLC","1","(5.0 marimba) (4-mallets)"
"502-1-38893","Keyboard Percussion Solo","Falling Up the Stairs","Butler","","Tapspace Publications, LLC [Blue Book, Vol 3]","1","(5.0 marimba) (4-mallets)"
"502-1-38894","Keyboard Percussion Solo","Lock 21","Dekaney","","Tapspace Publications, LLC [Blue Book, Vol 3]","1","(vibraphone) (2-mallets)"
"502-1-38895","Keyboard Percussion Solo","Snow Globe","Holmes","","Tapspace Publications, LLC","1","(vibraphone) (4-mallets)"
"502-1-38896","Keyboard Percussion Solo","Ostinato","Monkman","","Tapspace Publications, LLC","1","(4.5 marimba) (4-mallets)"
"502-1-38897","Keyboard Percussion Solo","Lighthouse","Monkman","","Tapspace Publications, LLC","1","(vibraphone) (4-mallets)"
"502-1-38898","Keyboard Percussion Solo","Lukas’ Lexicon","Perez","","Tapspace Publications, LLC [Blue Book, Vol 3]","1","(4.3 marimba) (4-mallets)"
"502-1-38899","Keyboard Percussion Solo","Soundscapes","Peters","","Tapspace Publications, LLC [Soundscapes]","1","(4.3 marimba) (4-mallets) (play one from Highland Park through The Cape)"
"502-1-38900","Keyboard Percussion Solo","Charm","Peters","","Tapspace Publications, LLC","1","(vibraphone) (2-mallets)"
"502-1-38901","Keyboard Percussion Solo","Pale Blue Dot","Stopa","","Tapspace Publications, LLC","1","(5.0 marimba) (4-mallets)"
"502-1-38902","Keyboard Percussion Solo","Pining for the Spring Breeze","Teng","Oetomo","Tapspace Publications, LLC","1","(5.0 marimba) (4-mallets)"
"502-1-38903","Keyboard Percussion Solo","Be Thou My Vision","Traditional","Mueller","Tapspace Publications, LLC","1","(4.3 marimba) (4-mallets)"
"502-1-38904","Keyboard Percussion Solo","For the Fleeting Moment","Trewitt","","Tapspace Publications, LLC","1","(vibraphone) (4-mallets)"
"502-1-38905","Keyboard Percussion Solo","Song for Kendall","Ukena","","Ukena Music","1","(vibraphone) (4-mallets)"
"502-1-38906","Keyboard Percussion Solo","Papilio Hilari","Mertens","","WM-music","1","(vibraphone) (4-mallets)"
"502-1-38907","Keyboard Percussion Solo","Around My Country","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(4.3 marimba) (4-mallets)"
"502-1-38908","Keyboard Percussion Solo","Scarecrows","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(4.0 marimba) (4-mallets)"
"502-1-38909","Keyboard Percussion Solo","Migrating Birds","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(5.0 marimba) (4-mallets)"
"502-1-38910","Keyboard Percussion Solo","Lullaby for My Doll","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(4.3 marimba) (4-mallets)"
"502-1-38911","Keyboard Percussion Solo","Dancing Girls in Sanur","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(4.0 marimba) (4-mallets)"
"502-1-38912","Keyboard Percussion Solo","To the South","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(5.0 marimba) (4-mallets)"
"502-1-38913","Keyboard Percussion Solo","The Longing","Miki","Zator","Zamiki Music [Ballades for Koto Solo]","1","(4.3 marimba) (2-mallets)"
"502-2-14813","Keyboard Percussion Solo","Suite Mexicana","Larson","","Southern Music Company","2","(marimba)(play all)(4 mallets)"
"502-2-14835","Keyboard Percussion Solo","Sonata","Pitfield","","C.F. Peters Corporation","2","(xylophone)(play one mvt)(2 mallets)"
"502-2-14861","Keyboard Percussion Solo","Water Drops","Asabuki","","Stu4","2","(marimba, vibraphone, or xylophone)(2 mallets)"
"502-2-14862","Keyboard Percussion Solo","Jesu Joy of Man's Desiring","Bach","Moore","Kendor Music, Inc.","2","(marimba)(4 mallets)"
"502-2-14863","Keyboard Percussion Solo","Prelude in g minor","Bach","Stevens","Keyboard Percussion Publications","2","(marimba)(4 mallets)"
"502-2-14876","Keyboard Percussion Solo","Mexican Variations","Frock","","Southern Music Company","2","(marimba) (play theme and one variation)(4 mallets)"
"502-2-14877","Keyboard Percussion Solo","Prayer","Gipson","","Southern Music Company","2","(marimba)(4 mallets)"
"502-2-14878","Keyboard Percussion Solo","Anasazi","Gomez","","Southern Music Company","2","(marimba or xylophone)(2 mallets)"
"502-2-14879","Keyboard Percussion Solo","Funeral March of a Marionette","Gounod","Roy","Medici Music Press","2","(marimba)(2 mallets)"
"502-2-14885","Keyboard Percussion Solo","Sonata No. I-Andante and Allegro","Handel","","G. Schirmer, Inc. [Six Sonatas for Violin and Piano]","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14886","Keyboard Percussion Solo","Sonata No. II-Andante and Allegro","Handel","","G. Schirmer, Inc. [Six Sonatas for Violin and Piano]","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14887","Keyboard Percussion Solo","Sonata No. III-Adagio and Allegro","Handel","","G. Schirmer, Inc. [Six Sonatas for Violin and Piano]","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14888","Keyboard Percussion Solo","Sonata No. IV-Adagio and Allegro","Handel","","G. Schirmer, Inc. [Six Sonatas for Violin and Piano]","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14889","Keyboard Percussion Solo","Gypsy Rondo","Haydn","Barnes","Ludwig Music Publishing Company","2","(xylophone) (piano accomp)(2 mallets)"
"502-2-14891","Keyboard Percussion Solo","Galloping Comedians","Kabalevsky","Goldenberg","Music Corporation of America","2","(xylophone or marimba)(piano accomp)(2 mallets)"
"502-2-14892","Keyboard Percussion Solo","Two Chorales","Larson","","Southern Music Company","2","(marimba)(play all)(4 mallets)"
"502-2-14897","Keyboard Percussion Solo","Sea Refractions","Peters","","Mitchell Peters","2","(marimba)(4 mallets)"
"502-2-14900","Keyboard Percussion Solo","Chromatic Jazz Piece","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14901","Keyboard Percussion Solo","Clef Jump","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba)  (must play one additional selection from this collection)(2 mallets)"
"502-2-14902","Keyboard Percussion Solo","Crazy Maze","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14904","Keyboard Percussion Solo","Five by Five","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14905","Keyboard Percussion Solo","Gypsy Dance","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14908","Keyboard Percussion Solo","Kangaroo Jump","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14909","Keyboard Percussion Solo","Morning Mist","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(4 mallets)"
"502-2-14910","Keyboard Percussion Solo","Perpetual Motion","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14912","Keyboard Percussion Solo","Sharpie","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14914","Keyboard Percussion Solo","Stick With It","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14916","Keyboard Percussion Solo","The Paradise Hut","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14918","Keyboard Percussion Solo","Two Keys","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(2 mallets)"
"502-2-14919","Keyboard Percussion Solo","Winter Walk","Schinstine","","Southern Music Company [Southern Special Marimba Solos]","2","(marimba) (must play one additional selection from this collection)(4 mallets)"
"502-2-14920","Keyboard Percussion Solo","Marche Militaire","Schubert","Quick","Rubank, Inc.","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14921","Keyboard Percussion Solo","Scherzo","Schubert","Roy","Medici Music Press","2","(marimba) (piano accomp)(2 mallets)"
"502-2-14923","Keyboard Percussion Solo","Malletrix","Spears","","Southern Music Company","2","(marimba)(2 mallets)"
"502-2-14925","Keyboard Percussion Solo","After School Rag","Ukena","","Southern Music Company","2","(marimba)(2 mallets)"
"502-2-26180","Keyboard Percussion Solo","Two Movements for Marimba","Gaetano","","Pioneer Percussion","2","(play one mvt)(marimba)(4.0-octave, 4 mallet)"
"502-2-26186","Keyboard Percussion Solo","Espana Cani","Marquina","Hatch","Drop6","2","(marimba)"
"502-2-26190","Keyboard Percussion Solo","Tunes You Know","Anon. or Trad.","Molenhof","Kendor Music, Inc.","2","(vibraphone)(play one)"
"502-2-26191","Keyboard Percussion Solo","Solfegietto","Bach","Chandler","Pioneer Percussion","2","(vibraphone)"
"502-2-26194","Keyboard Percussion Solo","Greensleeves","Brown","","Kendor Music, Inc.","2","(marimba)(4 mallets)"
"502-2-26201","Keyboard Percussion Solo","Little Brave","Hatch","","Drop6","2","(marimba)(play two contrasting mvts)(2 mallets)"
"502-2-26202","Keyboard Percussion Solo","Bop on the Top","Houllif","","Kendor Music, Inc.","2","(vibraphone)(4 mallets)"
"502-2-26203","Keyboard Percussion Solo","Canzona VI","Immerso","","Pioneer Percussion","2","(marimba or vibraphone)(4 mallets)"
"502-2-26204","Keyboard Percussion Solo","Scherzo Brilliante","Jones","","Innovative","2","(xylophone or marimba)(piano accomp)(2 mallets)"
"502-2-26205","Keyboard Percussion Solo","What'd You Say?","Lipner","","Row-Loff Publications [Jazz Mallets: In Session]","2","(vibraphone)(2 mallets)"
"502-2-26206","Keyboard Percussion Solo","Miner's Blues","Lipner","","Row-Loff Publications [Jazz Mallets: In Session]","2","(vibraphone)(2 mallets)"
"502-2-26210","Keyboard Percussion Solo","Leapin' Leprechauns","Pollard","","Row-Loff Publications [Shazam!]","2","(marimba or xylophone)(2 mallets)"
"502-2-26211","Keyboard Percussion Solo","City Streets","Pollard","","Row-Loff Publications [Shazam!]","2","(marimba)(2 mallets)"
"502-2-26212","Keyboard Percussion Solo","King Cotton","Sousa","","Drop6","2","(marimba) (piano accomp)(2 mallets)"
"502-2-26213","Keyboard Percussion Solo","In the Stillness of Twilight","Steinquest","","Row-Loff Publications","2","(vibraphone)(4 mallets)"
"502-2-26214","Keyboard Percussion Solo","Radford Rag","Steinquest","","Pioneer Percussion","2","(marimba)(4 mallets)"
"502-2-26218","Keyboard Percussion Solo","Design for Vibraphone and Piano","Tachoir","","RcM","2","(vibraphone) (piano accomp)(4 mallets)"
"502-2-26219","Keyboard Percussion Solo","Solo Vibraphone Collection (play 1)","Tachoir","","RcM","2","(play 1)(4 mallets)"
"502-2-26220","Keyboard Percussion Solo","Recuerdos de la Alhambra","Tarrega","Maxey","Southern Music Publishing Company","2","(marimba)(3 mallets)"
"502-2-26222","Keyboard Percussion Solo","Flower Sonatina","Van DeBorgart","","Kastuck Percussion Studio, Inc.","2","(marimba)(2 mallets)"
